"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10938","@web ecommerce_addproduct to cart1 pranithi@gmail.com","","2026-04-07","passed","2026-04-07","","TypescriptecommercePOM.spec.ts","",""
"","3367","Network test3","","2026-04-05","passed","2026-04-05","","Network.spec.js","",""
"","9824","ecommerce_addproduct to cart","","2026-04-05","passed","2026-04-05","","ecommerce.spec.js","",""
"","5305","login page","","2026-04-05","passed","2026-04-05","","practice.spec.js","",""
"","2140","secondprogram","","2026-04-05","passed","2026-04-05","","practice.spec.js","",""
"","5885","test2","","2026-04-05","passed","2026-04-05","","EventBookingApiIntercept.spec.js","",""
"","3804","network test1","","2026-04-05","passed","2026-04-05","","Network.spec.js","",""
"","4952","ecommerceLogin john.doe.march2026.xyz@gmail.com","","2026-04-05","passed","2026-04-05","","ecommercePOM.spec.js","",""
"","6046","@web ecommerceLogin pranithi@gmail.com","","2026-04-07","passed","2026-04-07","","TypescriptecommercePOM.spec.ts","",""
"","17004","Group ticket event","","2026-04-05","passed","2026-04-05","","eventBookingWeb.spec.js","",""
"","6415","Register a new user","","2026-04-05","passed","2026-04-05","","eventBooking.spec.js","",""
"","10003","@web ecommerce_addproduct to cart1 john.doe.march2026.xyz@gmail.com","","2026-04-07","passed","2026-04-07","","TypescriptecommercePOM.spec.ts","",""
"","28471","network test2","","2026-04-05","passed","2026-04-05","","Network.spec.js","",""
"","13461","Book an event","","2026-04-05","passed","2026-04-05","","eventBooking.spec.js","",""
"","5091","ecommerceLogin","","2026-04-05","passed","2026-04-05","","ecommerce.spec.js","",""
"","5417","ecommerceLogin pranithi@gmail.com","","2026-04-05","passed","2026-04-05","","ecommercePOM.spec.js","",""
"","5754","upload download files","","2026-04-05","passed","2026-04-05","","uploaddownloadfiles.spec.js","",""
"","16020","child page","","2026-04-05","passed","2026-04-05","","practice.spec.js","",""
"","2182","assignment2","","2026-04-05","failed","2026-04-05","","EventBookingApiIntercept.spec.js","",""
"","6634","@Api ecommerceprod","","2026-04-05","passed","2026-04-05","","ecommerceAPI.spec.js","",""
"","5461","@web ecommerceLogin john.doe.march2026.xyz@gmail.com","","2026-04-07","passed","2026-04-07","","TypescriptecommercePOM.spec.ts","",""
"","988","firstprogram","","2026-04-05","passed","2026-04-05","","practice.spec.js","",""
"","9400","ecommerce_addproduct to cart1 john.doe.march2026.xyz@gmail.com","","2026-04-05","passed","2026-04-05","","ecommercePOM.spec.js","",""
"","10306","ecommerce_addproduct to cart1 pranithi@gmail.com","","2026-04-05","passed","2026-04-05","","ecommercePOM.spec.js","",""
"","16118","single ticket event","","2026-04-05","passed","2026-04-05","","eventBookingWeb.spec.js","",""
"","12524","Test1","","2026-04-05","passed","2026-04-05","","EventBookingApiIntercept.spec.js","",""
"","5598","@Api eccom add product API","","2026-04-05","passed","2026-04-05","","ecommerceAPI.spec.js","",""
"","11","prac","","2026-04-05","passed","2026-04-05","","practice.spec.js","",""
"","1550","has title","","2026-04-05","passed","2026-04-05","","example.spec.js","",""
"","1415","get started link","","2026-04-05","passed","2026-04-05","","example.spec.js","",""
